           | thermogenesis | UCP1 || adipocyte | browning | obesity | diabetes |
ASCL1      |             0 |    0 ||         5 |       11 |      11 |       11 
CTCFL      |             0 |    0 ||         0 |        0 |       0 |        3 
ESR2       |             0 |    1 ||        13 |        9 |      30 |       46 
ESRRB      |             2 |    2 ||         1 |        4 |       4 |        4 
Esrrg      |             4 |    3 ||        11 |       12 |      23 |       43 
EWSR1 FLI1 |             0 |    0 ||         1 |        4 |       0 |        2 
FIGLA      |             0 |    0 ||         1 |        3 |       0 |        4 
HNF4G      |             0 |    0 ||         0 |        1 |       4 |        7 
ID4        |             0 |    0 ||         6 |        1 |       2 |       11 
IRF1       |             1 |    1 ||         9 |       13 |      21 |       60 
KLF16      |             0 |    0 ||         4 |        1 |       0 |        2 
KLF5       |             0 |    0 ||        40 |       11 |      18 |       36 
MZF1       |             0 |    0 ||         1 |        0 |       2 |        5 
NR2C2      |             0 |    1 ||         2 |        1 |       3 |       13 
NR4A2      |             1 |    1 ||         6 |       12 |      18 |       38 
Nr5a2      |             0 |    0 ||         6 |        7 |       8 |       31 
PBX3       |             0 |    0 ||         1 |        2 |       0 |        1 
PLAG1      |             0 |    0 ||        28 |        5 |       3 |       13 
Pparg Rxra |             1 |    1 ||         1 |        1 |       3 |        3 
RARA       |             6 |    4 ||        14 |       38 |      31 |       58 
Rarg       |             0 |    0 ||         3 |        2 |       2 |        3 
RBPJ       |             1 |    1 ||         3 |       14 |       8 |       20 
REST RE1   |             0 |    0 ||         0 |        7 |       2 |       14 
RREB1      |             1 |    0 ||         3 |        6 |      10 |       15 
Sox3       |             0 |    0 ||         1 |        1 |       3 |       16 
SP1        |             4 |    3 ||       110 |      114 |      81 |      351 
SP2        |             0 |    0 ||         3 |       42 |      10 |       36 
SP4        |             0 |    0 ||         1 |       63 |       8 |       14 
SP8        |             0 |    0 ||         0 |        2 |       1 |        2 
SPIB       |             0 |    0 ||         0 |        2 |       1 |        2 
Stat5a     |             2 |    4 ||        52 |       22 |      34 |       84 
Stat5b     |             0 |    1 ||        31 |       15 |      36 |       79 
TBX15      |             2 |    4 ||        15 |        9 |      22 |       15 
TBX5       |             0 |    1 ||         8 |       15 |      11 |       17 
TCF3       |             0 |    0 ||         3 |        9 |       4 |       10 
TCF4       |             0 |    0 ||        19 |       26 |      14 |       45 
ZBTB18     |             0 |    0 ||         0 |        2 |       0 |        0 
ZEB1       |             0 |    1 ||        19 |       42 |      15 |       57 
ZNF263     |             0 |    0 ||         2 |        0 |       1 |        0 
SP3        |             0 |    0 ||        19 |       23 |       8 |       39 
NEUROD1    |             0 |    0 ||         8 |        3 |      25 |      277 
TFAP2A     |             0 |    0 ||        11 |        5 |       3 |        9 
TFAP2B     |             0 |    0 ||         4 |        0 |      52 |       29 
